,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes
67,107.jpg,0,69,3,72,0.0,58.100637068605174,85.02716232671378
68,108.jpg,0,47,4,51,0.0,56.31165031131936,83.89719198834614
69,110.jpg,0,224,6,230,0.0,46.2724624653659,62.70274350838455
70,113.jpg,0,197,0,197,0.0,43.807545186057006,61.62895851723264
71,114.jpg,0,141,1,142,0.0,46.915883643262745,60.45563340635329
72,116.jpg,0,36,28,64,0.0,65.20049211374865,134.41241397746714
73,118.jpg,0,19,11,30,0.0,72.7516322840938,121.33988077572297
74,120.jpg,0,9,6,15,0.0,37.978502691215546,58.376936084952824
75,123.jpg,0,24,29,53,0.0,89.01403014810388,167.48635153630698
76,124.jpg,0,16,17,33,0.0,89.69738687454173,158.29910315793347
77,127.jpg,0,6,19,25,0.0,84.74462954075615,143.15204595114943
78,129.jpg,0,7,14,21,0.0,81.39176277498262,134.5307541401735
79,131.jpg,0,3,7,10,0.0,79.85048528343457,148.13304830455627
80,132.jpg,0,1,13,14,0.0,77.49169513106365,149.44791892638912
81,136.jpg,15,94,5,114,0.13157894736842105,36.33442558313177,42.33087504949715
82,138.jpg,3,47,0,50,0.06,36.954907657847016,44.398385105767076
83,139.jpg,40,130,39,209,0.19138755980861244,34.20732594526147,40.76376099584429
84,143.jpg,0,51,16,67,0.0,43.10568730873235,52.41751743766923
85,145.jpg,0,222,3,225,0.0,28.364375152253537,33.55906368711075
86,146.jpg,0,26,0,26,0.0,36.059512774557305,42.62267363378684
87,147.jpg,0,60,1,61,0.0,34.656086684192935,40.487354836286165
88,148.jpg,0,122,0,122,0.0,37.6436592531493,46.645506521941904
89,151.jpg,0,4,0,4,0.0,44.232341109192944,62.6418390534633
90,152.jpg,0,1,1,2,0.0,46.66369038128039,71.17232608254419
91,155.jpg,0,96,16,112,0.0,36.20434316882042,47.33788123691215
92,158.jpg,2,51,1,54,0.037037037037037035,92.86609125808815,133.01352373460486
93,160.jpg,0,49,2,51,0.0,90.31166189651148,127.49532863414805
94,161.jpg,2,59,3,64,0.03125,86.45537956801763,120.84798043409745
95,162.jpg,12,8,0,20,0.6,96.43347707098401,133.7472990381488
96,163.jpg,4,37,1,42,0.09523809523809523,94.25972224707242,128.94457096346625
97,165.jpg,3,49,3,55,0.05454545454545454,93.92409846640676,131.4970500878943
98,166.jpg,0,9,31,40,0.0,41.42820898856237,53.64373215949838
99,167.jpg,0,114,74,188,0.0,39.31432119551131,51.440665054765724
100,168.jpg,0,90,58,148,0.0,39.848072963681936,52.80697896137429
101,169.jpg,0,174,18,192,0.0,37.57113503423096,52.50127367006602
102,173.jpg,0,50,1,51,0.0,97.82638277410989,145.88351289070786
103,174.jpg,0,23,0,23,0.0,97.43721166675135,140.67960978299467
104,176.jpg,0,16,1,17,0.0,98.02496380724537,132.48529330146977
105,177.jpg,0,32,5,37,0.0,93.44328385334762,131.9419303063775
106,178.jpg,0,29,3,32,0.0,94.48343026028427,135.6571160131307
107,181.jpg,2,31,1,34,0.058823529411764705,87.54333128766106,116.51259588559513
108,183.jpg,8,26,0,34,0.23529411764705882,84.39734453586725,113.13968461726468
109,184.jpg,0,30,4,34,0.0,92.6155220760093,125.77149249146012
110,185.jpg,0,27,0,27,0.0,99.19393275950046,135.03703195790405
111,186.jpg,0,71,1,72,0.0,96.81558213657782,131.61977012929665
112,187.jpg,0,66,0,66,0.0,97.91266276791286,136.0370766639475
113,188.jpg,0,96,0,96,0.0,37.877452478354456,48.39434905888634
114,189.jpg,0,210,2,212,0.0,38.79823413118326,51.51815259857259
115,191.jpg,0,29,17,46,0.0,50.16907493015818,73.36505772949528
116,192.jpg,0,25,14,39,0.0,52.31292187282025,78.06507804554101
117,193.jpg,0,17,26,43,0.0,50.687941779682326,72.70824143171819
118,195.jpg,0,4,17,21,0.0,99.95211472547861,231.01391423771116
