epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,998.978,0.44264,0.53738,1.71293,0.95363,0.65436,0.58622,0.55028,0.35296,0.65261,0.58327,0.55025,0.33816,0.4563,0.52359,1.76028,0.99953,0.000961253,0.000961253,0.000961253
41,1020.81,0.44431,0.53982,1.71288,0.96357,0.65352,0.57058,0.53935,0.34636,0.6506,0.56825,0.53964,0.3302,0.45824,0.52496,1.76898,1.00377,0.00094023,0.00094023,0.00094023
42,1041.75,0.4434,0.52935,1.6805,0.95167,0.60734,0.72257,0.61973,0.40114,0.6137,0.72012,0.62012,0.39465,0.4591,0.52328,1.75955,1.00678,0.000918991,0.000918991,0.000918991
43,1062.78,0.44033,0.52295,1.68045,0.95759,0.64774,0.55552,0.52464,0.34328,0.64826,0.56444,0.52861,0.32595,0.45513,0.51799,1.77658,1.00029,0.000897557,0.000897557,0.000897557
44,1083.02,0.44087,0.52682,1.70569,0.95718,0.68657,0.5768,0.56398,0.35689,0.68612,0.57467,0.5674,0.35888,0.47299,0.52631,1.72443,1.00713,0.00087595,0.00087595,0.00087595
45,1104.65,0.45162,0.53338,1.67717,0.96869,0.67364,0.56053,0.54325,0.34963,0.67962,0.55876,0.54867,0.34529,0.45264,0.51413,1.759,0.99404,0.00085419,0.00085419,0.00085419
46,1125.51,0.43557,0.52762,1.66595,0.95979,0.66501,0.58424,0.55408,0.35559,0.667,0.58627,0.55911,0.34664,0.47108,0.53082,1.74998,1.01527,0.0008323,0.0008323,0.0008323
47,1147.63,0.44094,0.53206,1.60518,0.96273,0.6666,0.56034,0.53772,0.34913,0.66926,0.56218,0.54133,0.33896,0.45576,0.51492,1.77018,1.00295,0.0008103,0.0008103,0.0008103
48,1168.32,0.4447,0.53529,1.64369,0.95708,0.63022,0.65712,0.57756,0.37633,0.63046,0.65996,0.58016,0.36037,0.4533,0.51652,1.71061,0.99699,0.000788213,0.000788213,0.000788213
49,1191.03,0.44111,0.52535,1.66209,0.96243,0.64908,0.607,0.56441,0.37159,0.64816,0.60838,0.5651,0.35194,0.45008,0.51252,1.75218,0.99767,0.00076606,0.00076606,0.00076606
50,1211.91,0.4302,0.51741,1.61386,0.9498,0.68085,0.58204,0.55497,0.36253,0.67738,0.58534,0.55495,0.34125,0.44855,0.52819,1.7473,0.99467,0.000743864,0.000743864,0.000743864
51,1233.08,0.42156,0.50795,1.60876,0.94838,0.65193,0.62998,0.58356,0.38578,0.6521,0.63118,0.58609,0.36416,0.44603,0.51939,1.65866,0.99122,0.000721645,0.000721645,0.000721645
52,1254.34,0.4448,0.52299,1.61601,0.96601,0.66781,0.5427,0.53073,0.33945,0.67315,0.54405,0.53146,0.32179,0.47675,0.54269,1.83816,1.0144,0.000699426,0.000699426,0.000699426
53,1275.62,0.45104,0.53531,1.63091,0.96132,0.66327,0.61544,0.58621,0.3738,0.66826,0.61703,0.58511,0.37918,0.4782,0.51628,1.75822,1.00169,0.00067723,0.00067723,0.00067723
54,1296.89,0.44117,0.52158,1.60943,0.94874,0.70273,0.55265,0.52664,0.34129,0.70976,0.54934,0.52764,0.32729,0.46906,0.5162,1.75184,1.01166,0.000655077,0.000655077,0.000655077
55,1317.99,0.43377,0.51314,1.56677,0.95486,0.70497,0.60262,0.58812,0.38558,0.70588,0.60332,0.58715,0.36331,0.45464,0.50827,1.66945,1.00022,0.00063299,0.00063299,0.00063299
56,1339.53,0.43105,0.51111,1.58137,0.94889,0.67239,0.62961,0.58379,0.37665,0.67955,0.6229,0.58029,0.35058,0.44127,0.52109,1.66002,0.98838,0.00061099,0.00061099,0.00061099
57,1360.64,0.4266,0.50849,1.543,0.94714,0.67954,0.60743,0.57908,0.37841,0.67738,0.60901,0.57773,0.36564,0.44969,0.50626,1.68718,0.99691,0.0005891,0.0005891,0.0005891
58,1381.78,0.42019,0.49403,1.53759,0.94176,0.69208,0.59771,0.56826,0.36566,0.69161,0.59652,0.56637,0.36164,0.4647,0.51113,1.72149,1.00431,0.00056734,0.00056734,0.00056734
59,1402.89,0.42388,0.51443,1.52497,0.94026,0.69462,0.60568,0.57509,0.38323,0.69283,0.60451,0.57416,0.36757,0.45119,0.50443,1.72375,0.9922,0.000545733,0.000545733,0.000545733
60,1423.5,0.42279,0.50886,1.55731,0.94142,0.68377,0.626,0.59039,0.39112,0.68203,0.62475,0.58809,0.36736,0.44185,0.50637,1.65692,0.98884,0.000524299,0.000524299,0.000524299
61,1443.57,0.42215,0.49586,1.56527,0.94642,0.68776,0.60091,0.58334,0.38121,0.68467,0.59939,0.58393,0.36123,0.45042,0.51108,1.67374,0.99388,0.00050306,0.00050306,0.00050306
62,1465.13,0.40792,0.50034,1.50892,0.93128,0.65818,0.64581,0.59179,0.38717,0.66304,0.64927,0.59295,0.37344,0.4506,0.50632,1.64218,0.99734,0.000482037,0.000482037,0.000482037
